"Q_difficulty","Q_stage","Q_text","Q_A1","Q_A2","Q_A3","Q_A4","Q_answer","Q_image","Q_ID","Q_level"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","ACB","CBA","CAB","BAC","A1","Sign_A, Sign_C, Sign_B","17","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_B, Sign_A?","CAB","CBA","BCA","BAC","A2","Sign_C, Sign_B, Sign_A","18","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","ACB","ABC","CAB","CBA","A2","Sign_A, Sign_B, Sign_C","19","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","C","A","A","B","A2","Sign_A","20","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","BCA","ACB","BAC","CBA","A2","Sign_A, Sign_C, Sign_B","21","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_B, Sign_A?","ABC","CBA","CAB","BAC","A2","Sign_C, Sign_B, Sign_A","22","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_A?","BC","BA","AB","CA","A2","Sign_B, Sign_A","23","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","ACB","CAB","CBA","ABC","A4","Sign_A, Sign_B, Sign_C","24","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_B?","ABC","ACB","CAB","CBA","A3","Sign_C, Sign_A, Sign_B","25","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","BA","CB","BC","AB","A3","Sign_B, Sign_C","26","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_A?","BC","BA","AC","AB","A2","Sign_B, Sign_A","27","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","AC","BC","AB","BA","A2","Sign_B, Sign_C","28","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","B","A","A","C","A2","Sign_A","29","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","BCA","ABC","CBA","BAC","A1","Sign_B, Sign_C, Sign_A","30","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_B?","BAC","CAB","ACB","BCA","A2","Sign_C, Sign_A, Sign_B","31","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","A","C","B","C","A2","Sign_C","32","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","C","B","A","A1","Sign_A","33","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","BCA","ACB","CAB","ABC","A4","Sign_A, Sign_B, Sign_C","34","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","BC","CA","CB","BA","A1","Sign_B, Sign_C","35","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","ABC","BCA","ACB","BAC","A2","Sign_B, Sign_C, Sign_A","36","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","CB","CA","AB","AC","A3","Sign_A, Sign_B","37","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","A","B","C","A1","Sign_A","38","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","A","B","C","A1","Sign_A","39","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","A","B","C","C","A3","Sign_C","40","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_C?","AC","AB","BC","CB","A1","Sign_A, Sign_C","41","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","ABC","CAB","CBA","ACB","A1","Sign_A, Sign_B, Sign_C","42","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_B, Sign_A?","BAC","ABC","CBA","CAB","A3","Sign_C, Sign_B, Sign_A","43","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","CAB","BAC","ACB","BCA","A3","Sign_A, Sign_C, Sign_B","44","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","B","C","A","A","A3","Sign_A","45","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_A?","AB","AC","BA","CB","A3","Sign_B, Sign_A","46","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","B","A","A","C","A2","Sign_A","47","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","BAC","ACB","BCA","CAB","A3","Sign_B, Sign_C, Sign_A","48","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_B?","CBA","ACB","BCA","CAB","A4","Sign_C, Sign_A, Sign_B","49","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","B","C","A","A1","Sign_A","50","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_A?","AC","CA","AB","BA","A2","Sign_C, Sign_A","51","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","CB","BC","AB","AC","A3","Sign_A, Sign_B","52","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","ABC","CBA","ACB","CAB","A3","Sign_A, Sign_C, Sign_B","53","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_C?","BC","CA","AC","CB","A3","Sign_A, Sign_C","54","1"
"1","1","Which set of letters corresponds to these signs: Sign_B?","C","A","B","B","A3","Sign_B","55","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","BCA","BAC","CBA","ACB","A1","Sign_B, Sign_C, Sign_A","56","1"
"2","1","Which set of letters corresponds to these signs: Sign_C, Sign_A?","AC","AB","BC","CA","A4","Sign_C, Sign_A","57","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_B, Sign_A?","CAB","ACB","CBA","BCA","A3","Sign_C, Sign_B, Sign_A","58","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_C?","AC","BC","AB","CA","A1","Sign_A, Sign_C","59","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","ABC","BCA","CBA","BAC","A1","Sign_A, Sign_B, Sign_C","60","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","B","A","A","C","A2","Sign_A","61","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","AB","CA","AC","BC","A1","Sign_A, Sign_B","62","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","BA","CB","BC","CA","A3","Sign_B, Sign_C","63","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","BCA","ACB","ABC","CBA","A2","Sign_A, Sign_C, Sign_B","64","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_A?","CB","AB","BA","AC","A3","Sign_B, Sign_A","65","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_B?","CAB","BCA","ACB","CBA","A3","Sign_A, Sign_C, Sign_B","66","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_A, Sign_C?","ACB","CBA","BAC","CAB","A3","Sign_B, Sign_A, Sign_C","67","1"
"1","1","Which set of letters corresponds to these signs: Sign_B?","A","B","C","B","A2","Sign_B","68","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","C","A","B","C","A1","Sign_C","69","1"
"1","1","Which set of letters corresponds to these signs: Sign_A?","A","A","C","B","A1","Sign_A","70","1"
"2","1","Which set of letters corresponds to these signs: Sign_B, Sign_C?","BC","CA","AC","CB","A1","Sign_B, Sign_C","71","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_A, Sign_C?","BCA","ACB","BAC","ABC","A3","Sign_B, Sign_A, Sign_C","72","1"
"3","1","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_C?","ACB","BAC","CAB","ABC","A4","Sign_A, Sign_B, Sign_C","73","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","B","A","C","C","A3","Sign_C","74","1"
"1","1","Which set of letters corresponds to these signs: Sign_C?","B","A","C","C","A3","Sign_C","75","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","CA","BC","AB","CB","A3","Sign_A, Sign_B","76","1"
"2","1","Which set of letters corresponds to these signs: Sign_A, Sign_B?","AC","BC","AB","CB","A3","Sign_A, Sign_B","77","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","ACB","CAB","BCA","ABC","A3","Sign_B, Sign_C, Sign_A","78","1"
"3","1","Which set of letters corresponds to these signs: Sign_C, Sign_B, Sign_A?","BCA","CBA","ABC","ACB","A2","Sign_C, Sign_B, Sign_A","79","1"
"3","1","Which set of letters corresponds to these signs: Sign_B, Sign_C, Sign_A?","BAC","BCA","CBA","ABC","A2","Sign_B, Sign_C, Sign_A","80","1"
"1","2","Which set of letters corresponds to these signs: Sign_F?","C","F","E","D","A2","Sign_F","81","1"
"2","2","Which set of letters corresponds to these signs: Sign_C, Sign_E?","CE","FE","BC","DB","A1","Sign_C, Sign_E","82","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_E?","BAC","EAB","DBF","CAE","A4","Sign_C, Sign_A, Sign_E","83","1"
"2","2","Which set of letters corresponds to these signs: Sign_C, Sign_D?","DB","CD","CE","AF","A2","Sign_C, Sign_D","84","1"
"2","2","Which set of letters corresponds to these signs: Sign_A, Sign_E?","CD","AE","FC","DE","A2","Sign_A, Sign_E","85","1"
"1","2","Which set of letters corresponds to these signs: Sign_E?","A","B","F","E","A4","Sign_E","86","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_F, Sign_B?","CAB","DFB","ADF","FBA","A2","Sign_D, Sign_F, Sign_B","87","1"
"2","2","Which set of letters corresponds to these signs: Sign_A, Sign_D?","AD","DB","BF","FC","A1","Sign_A, Sign_D","88","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_C?","FA","ED","BE","EC","A4","Sign_E, Sign_C","89","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_B?","EC","EB","FB","DC","A2","Sign_E, Sign_B","90","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_E, Sign_F?","ADF","DEF","FCA","EAB","A2","Sign_D, Sign_E, Sign_F","91","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","B","A","D","E","A1","Sign_B","92","1"
"1","2","Which set of letters corresponds to these signs: Sign_A?","D","E","F","A","A4","Sign_A","93","1"
"3","2","Which set of letters corresponds to these signs: Sign_A, Sign_C, Sign_D?","ACD","CAD","EAC","ACE","A1","Sign_A, Sign_C, Sign_D","94","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","F","D","A","B","A2","Sign_D","95","1"
"1","2","Which set of letters corresponds to these signs: Sign_E?","E","A","B","C","A1","Sign_E","96","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","E","B","C","F","A2","Sign_B","97","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_A?","EA","EC","DB","CB","A1","Sign_E, Sign_A","98","1"
"3","2","Which set of letters corresponds to these signs: Sign_F, Sign_E, Sign_B?","ACF","FEB","CBF","BDC","A2","Sign_F, Sign_E, Sign_B","99","1"
"2","2","Which set of letters corresponds to these signs: Sign_D, Sign_F?","AB","FB","DF","AC","A3","Sign_D, Sign_F","100","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","A","B","C","D","A2","Sign_B","101","1"
"3","2","Which set of letters corresponds to these signs: Sign_B, Sign_D, Sign_C?","BDC","FAE","EAB","DFC","A1","Sign_B, Sign_D, Sign_C","102","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","B","D","E","A","A2","Sign_D","103","1"
"3","2","Which set of letters corresponds to these signs: Sign_A, Sign_F, Sign_B?","EDB","EBA","BAD","AFB","A4","Sign_A, Sign_F, Sign_B","104","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_A, Sign_C?","DCF","CBA","DEB","DAC","A4","Sign_D, Sign_A, Sign_C","105","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","C","D","B","E","A2","Sign_D","106","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_B?","EB","AD","CB","CA","A1","Sign_E, Sign_B","107","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_B?","EF","FE","DC","EB","A4","Sign_E, Sign_B","108","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_B, Sign_F?","DFA","BCD","DBF","BEF","A3","Sign_D, Sign_B, Sign_F","109","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_E, Sign_F?","CEF","EFC","ECF","BCE","A1","Sign_C, Sign_E, Sign_F","110","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_E?","CB","AB","FD","BE","A4","Sign_B, Sign_E","111","1"
"1","2","Which set of letters corresponds to these signs: Sign_C?","C","B","A","F","A1","Sign_C","112","1"
"2","2","Which set of letters corresponds to these signs: Sign_F, Sign_D?","CF","DA","AD","FD","A4","Sign_F, Sign_D","113","1"
"1","2","Which set of letters corresponds to these signs: Sign_F?","D","A","F","B","A3","Sign_F","114","1"
"3","2","Which set of letters corresponds to these signs: Sign_B, Sign_F, Sign_E?","EAC","BFE","DEA","CFD","A2","Sign_B, Sign_F, Sign_E","115","1"
"2","2","Which set of letters corresponds to these signs: Sign_C, Sign_D?","DB","DE","CD","AB","A3","Sign_C, Sign_D","116","1"
"3","2","Which set of letters corresponds to these signs: Sign_B, Sign_A, Sign_E?","BAE","BDA","DBE","EDC","A1","Sign_B, Sign_A, Sign_E","117","1"
"3","2","Which set of letters corresponds to these signs: Sign_A, Sign_D, Sign_C?","BAE","ACF","ADC","BED","A3","Sign_A, Sign_D, Sign_C","118","1"
"1","2","Which set of letters corresponds to these signs: Sign_C?","F","B","C","D","A3","Sign_C","119","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_F?","BE","DA","BF","AB","A3","Sign_B, Sign_F","120","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_E, Sign_A?","CEA","BDE","EAB","EBC","A1","Sign_C, Sign_E, Sign_A","121","1"
"3","2","Which set of letters corresponds to these signs: Sign_F, Sign_B, Sign_E?","CAE","FBE","ACE","AEF","A2","Sign_F, Sign_B, Sign_E","122","1"
"1","2","Which set of letters corresponds to these signs: Sign_F?","D","B","C","F","A4","Sign_F","123","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_E, Sign_C?","BEC","DEC","AEF","CDB","A2","Sign_D, Sign_E, Sign_C","124","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","D","E","B","F","A3","Sign_B","125","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_C, Sign_B?","DCB","CEB","ECD","CAE","A1","Sign_D, Sign_C, Sign_B","126","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_D?","BD","DA","CA","FD","A1","Sign_B, Sign_D","127","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_C?","CB","FC","DE","BC","A4","Sign_B, Sign_C","128","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","D","E","B","A","A1","Sign_D","129","1"
"1","2","Which set of letters corresponds to these signs: Sign_C?","E","A","C","B","A3","Sign_C","130","1"
"2","2","Which set of letters corresponds to these signs: Sign_A, Sign_E?","AE","CD","DF","FD","A1","Sign_A, Sign_E","131","1"
"2","2","Which set of letters corresponds to these signs: Sign_F, Sign_E?","AD","FD","AC","FE","A4","Sign_F, Sign_E","132","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_F, Sign_E?","BAC","CFE","EAB","CFB","A2","Sign_C, Sign_F, Sign_E","133","1"
"3","2","Which set of letters corresponds to these signs: Sign_B, Sign_E, Sign_D?","ACE","CEB","BED","FAC","A3","Sign_B, Sign_E, Sign_D","134","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","C","B","E","F","A2","Sign_B","135","1"
"3","2","Which set of letters corresponds to these signs: Sign_E, Sign_B, Sign_F?","ADF","BFE","EBF","BAC","A3","Sign_E, Sign_B, Sign_F","136","1"
"1","2","Which set of letters corresponds to these signs: Sign_A?","B","C","A","F","A3","Sign_A","137","1"
"1","2","Which set of letters corresponds to these signs: Sign_E?","F","C","E","D","A3","Sign_E","138","1"
"3","2","Which set of letters corresponds to these signs: Sign_A, Sign_F, Sign_D?","FBC","AFD","DAF","EFC","A2","Sign_A, Sign_F, Sign_D","139","1"
"3","2","Which set of letters corresponds to these signs: Sign_D, Sign_F, Sign_C?","FBD","DFC","CAD","ADE","A2","Sign_D, Sign_F, Sign_C","140","1"
"2","2","Which set of letters corresponds to these signs: Sign_F, Sign_A?","BE","FC","FA","DB","A3","Sign_F, Sign_A","141","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_D, Sign_E?","DAF","BCD","ECA","CDE","A4","Sign_C, Sign_D, Sign_E","142","1"
"1","2","Which set of letters corresponds to these signs: Sign_E?","B","A","E","F","A3","Sign_E","143","1"
"2","2","Which set of letters corresponds to these signs: Sign_C, Sign_B?","BF","FE","CB","EC","A3","Sign_C, Sign_B","144","1"
"1","2","Which set of letters corresponds to these signs: Sign_E?","F","E","C","B","A2","Sign_E","145","1"
"1","2","Which set of letters corresponds to these signs: Sign_F?","A","B","C","F","A4","Sign_F","146","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","B","D","C","F","A1","Sign_B","147","1"
"1","2","Which set of letters corresponds to these signs: Sign_B?","C","F","B","D","A3","Sign_B","148","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_A?","EA","BE","BA","AB","A3","Sign_B, Sign_A","149","1"
"2","2","Which set of letters corresponds to these signs: Sign_E, Sign_C?","EA","FB","DF","EC","A4","Sign_E, Sign_C","150","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","D","B","E","A","A1","Sign_D","151","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","F","D","C","A","A2","Sign_D","152","1"
"1","2","Which set of letters corresponds to these signs: Sign_A?","A","D","B","C","A1","Sign_A","153","1"
"3","2","Which set of letters corresponds to these signs: Sign_C, Sign_A, Sign_D?","BDE","CAD","CDA","FBE","A2","Sign_C, Sign_A, Sign_D","154","1"
"1","2","Which set of letters corresponds to these signs: Sign_F?","A","B","D","F","A4","Sign_F","155","1"
"3","2","Which set of letters corresponds to these signs: Sign_F, Sign_A, Sign_D?","BDF","BAC","ADB","FAD","A4","Sign_F, Sign_A, Sign_D","156","1"
"1","2","Which set of letters corresponds to these signs: Sign_D?","F","D","C","B","A2","Sign_D","157","1"
"3","2","Which set of letters corresponds to these signs: Sign_E, Sign_D, Sign_B?","CDE","AFD","DBF","EDB","A4","Sign_E, Sign_D, Sign_B","158","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_F?","CE","BE","BF","BC","A3","Sign_B, Sign_F","159","1"
"2","2","Which set of letters corresponds to these signs: Sign_B, Sign_A?","FC","BC","BA","AC","A3","Sign_B, Sign_A","160","1"
"2","3","Which set of letters corresponds to these signs: Sign_D, Sign_E?","DE","DH","AI","BC","A1","Sign_D, Sign_E","161","1"
"1","3","Which set of letters corresponds to these signs: Sign_I?","F","A","I","E","A3","Sign_I","162","1"
"1","3","Which set of letters corresponds to these signs: Sign_C?","E","H","G","C","A4","Sign_C","163","1"
"2","3","Which set of letters corresponds to these signs: Sign_E, Sign_D?","CB","IB","ED","DE","A3","Sign_E, Sign_D","164","1"
"3","3","Which set of letters corresponds to these signs: Sign_D, Sign_G, Sign_A?","EIH","AIB","DGA","EAH","A3","Sign_D, Sign_G, Sign_A","165","1"
"3","3","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_H?","AGI","ABH","GBI","GDC","A2","Sign_A, Sign_B, Sign_H","166","1"
"2","3","Which set of letters corresponds to these signs: Sign_I, Sign_D?","BD","ID","FA","DG","A2","Sign_I, Sign_D","167","1"
"1","3","Which set of letters corresponds to these signs: Sign_E?","G","H","E","D","A3","Sign_E","168","1"
"1","3","Which set of letters corresponds to these signs: Sign_F?","F","I","E","A","A1","Sign_F","169","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_I, Sign_C?","BIC","GEC","FEA","FDB","A1","Sign_B, Sign_I, Sign_C","170","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","D","F","E","G","A4","Sign_G","171","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","A","F","C","G","A4","Sign_G","172","1"
"1","3","Which set of letters corresponds to these signs: Sign_C?","A","F","C","D","A3","Sign_C","173","1"
"2","3","Which set of letters corresponds to these signs: Sign_C, Sign_D?","GD","CD","IC","AC","A2","Sign_C, Sign_D","174","1"
"3","3","Which set of letters corresponds to these signs: Sign_A, Sign_B, Sign_G?","BHD","FGB","DFG","ABG","A4","Sign_A, Sign_B, Sign_G","175","1"
"1","3","Which set of letters corresponds to these signs: Sign_B?","A","H","C","B","A4","Sign_B","176","1"
"3","3","Which set of letters corresponds to these signs: Sign_H, Sign_E, Sign_G?","CAB","FIG","IAF","HEG","A4","Sign_H, Sign_E, Sign_G","177","1"
"3","3","Which set of letters corresponds to these signs: Sign_G, Sign_H, Sign_B?","FBD","GAE","ABH","GHB","A4","Sign_G, Sign_H, Sign_B","178","1"
"2","3","Which set of letters corresponds to these signs: Sign_H, Sign_I?","HI","EI","EH","EG","A1","Sign_H, Sign_I","179","1"
"2","3","Which set of letters corresponds to these signs: Sign_D, Sign_H?","AH","EB","DH","CH","A3","Sign_D, Sign_H","180","1"
"2","3","Which set of letters corresponds to these signs: Sign_C, Sign_D?","DA","CD","HG","BE","A2","Sign_C, Sign_D","181","1"
"1","3","Which set of letters corresponds to these signs: Sign_F?","B","C","F","A","A3","Sign_F","182","1"
"3","3","Which set of letters corresponds to these signs: Sign_G, Sign_B, Sign_C?","GBC","IGF","DFG","CDE","A1","Sign_G, Sign_B, Sign_C","183","1"
"3","3","Which set of letters corresponds to these signs: Sign_G, Sign_A, Sign_H?","GAH","AGE","FED","FDH","A1","Sign_G, Sign_A, Sign_H","184","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","G","H","E","B","A1","Sign_G","185","1"
"1","3","Which set of letters corresponds to these signs: Sign_F?","D","C","A","F","A4","Sign_F","186","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","G","I","B","E","A1","Sign_G","187","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_A, Sign_E?","ECG","EGF","FGE","BAE","A4","Sign_B, Sign_A, Sign_E","188","1"
"3","3","Which set of letters corresponds to these signs: Sign_C, Sign_E, Sign_G?","ICE","BDG","CEG","BHD","A3","Sign_C, Sign_E, Sign_G","189","1"
"1","3","Which set of letters corresponds to these signs: Sign_I?","G","I","A","C","A2","Sign_I","190","1"
"1","3","Which set of letters corresponds to these signs: Sign_D?","E","A","D","F","A3","Sign_D","191","1"
"3","3","Which set of letters corresponds to these signs: Sign_G, Sign_I, Sign_A?","GBA","GIA","AGC","GAB","A2","Sign_G, Sign_I, Sign_A","192","1"
"2","3","Which set of letters corresponds to these signs: Sign_I, Sign_H?","ED","HC","FB","IH","A4","Sign_I, Sign_H","193","1"
"2","3","Which set of letters corresponds to these signs: Sign_D, Sign_A?","AG","EC","DA","GE","A3","Sign_D, Sign_A","194","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","F","G","I","C","A2","Sign_G","195","1"
"3","3","Which set of letters corresponds to these signs: Sign_E, Sign_B, Sign_G?","FAG","GHA","GEB","EBG","A4","Sign_E, Sign_B, Sign_G","196","1"
"2","3","Which set of letters corresponds to these signs: Sign_C, Sign_G?","GH","FC","CI","CG","A4","Sign_C, Sign_G","197","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_H, Sign_F?","FID","GCB","BHF","BDF","A3","Sign_B, Sign_H, Sign_F","198","1"
"2","3","Which set of letters corresponds to these signs: Sign_D, Sign_F?","IH","BC","BE","DF","A4","Sign_D, Sign_F","199","1"
"2","3","Which set of letters corresponds to these signs: Sign_D, Sign_A?","BE","CB","DA","CG","A3","Sign_D, Sign_A","200","1"
"1","3","Which set of letters corresponds to these signs: Sign_G?","G","I","A","D","A1","Sign_G","201","1"
"2","3","Which set of letters corresponds to these signs: Sign_A, Sign_F?","EA","AD","AF","DH","A3","Sign_A, Sign_F","202","1"
"2","3","Which set of letters corresponds to these signs: Sign_C, Sign_A?","CA","IC","AI","DF","A1","Sign_C, Sign_A","203","1"
"1","3","Which set of letters corresponds to these signs: Sign_I?","I","A","G","C","A1","Sign_I","204","1"
"3","3","Which set of letters corresponds to these signs: Sign_B, Sign_I, Sign_H?","AIG","BIH","EAD","BFE","A2","Sign_B, Sign_I, Sign_H","205","1"
"2","3","Which set of letters corresponds to these signs: Sign_H, Sign_G?","IH","IC","HG","HF","A3","Sign_H, Sign_G","206","1"
"3","3","Which set of letters corresponds to these signs: Sign_F, Sign_E, Sign_C?","FEC","BIH","FBD","IEG","A1","Sign_F, Sign_E, Sign_C","207","1"
"1","3","Which set of letters corresponds to these signs: Sign_H?","G","H","A","F","A2","Sign_H","208","1"
"1","3","Which set of letters corresponds to these signs: Sign_C?","A","H","D","C","A4","Sign_C","209","1"
"1","3","Which set of letters corresponds to these signs: Sign_H?","A","G","H","B","A3","Sign_H","210","1"
"2","3","Which set of letters corresponds to these signs: Sign_H, Sign_F?","DE","HF","DG","GH","A2","Sign_H, Sign_F","211","1"
"3","3","Which set of letters corresponds to these signs: Sign_D, Sign_G, Sign_F?","BCE","DGF","FAH","IFC","A2","Sign_D, Sign_G, Sign_F","212","1"
"2","3","Which set of letters corresponds to these signs: Sign_B, Sign_I?","BE","AG","BI","CF","A3","Sign_B, Sign_I","213","1"
