Q_text,Q_Braille_Symbol,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_ID,Q_stage
What word does this Braille pattern represent: '⠉⠓⠁⠇⠇⠑⠝⠛⠑'?,⠉⠓⠁⠇⠇⠑⠝⠛⠑,CHALLENGE,CHALLENGE,HERITAGE,EXERCISE,EDUCATION,3,136,14
What word does this Braille pattern represent: '⠗⠁⠞'?,⠗⠁⠞,RAT,CUT,USE,RAT,ICE,1,137,15
What word does this Braille pattern represent: '⠙⠁⠽'?,⠙⠁⠽,DAY,DAY,MOM,DUG,KIT,1,138,15
What word does this Braille pattern represent: '⠉⠁⠗'?,⠉⠁⠗,CAR,MAP,LEG,CAR,GYM,1,139,15
What word does this Braille pattern represent: '⠑⠁⠞'?,⠑⠁⠞,EAT,LEG,EAT,EYE,FLU,1,140,15
What word does this Braille pattern represent: '⠉⠥⠞'?,⠉⠥⠞,CUT,INK,LID,CUT,ANT,1,141,15
What word does this Braille pattern represent: '⠃⠗⠑⠁⠙'?,⠃⠗⠑⠁⠙,BREAD,ARISE,QUIET,ASIDE,BREAD,2,142,15
What word does this Braille pattern represent: '⠏⠁⠗⠞⠽'?,⠏⠁⠗⠞⠽,PARTY,PAPER,FAMILY,PARTY,PLANT,2,143,15
What word does this Braille pattern represent: '⠉⠓⠊⠇⠙'?,⠉⠓⠊⠇⠙,CHILD,QUIET,HOUSE,CHILD,WATER,2,144,15
What word does this Braille pattern represent: '⠏⠁⠞⠊⠑⠝⠉⠑'?,⠏⠁⠞⠊⠑⠝⠉⠑,PATIENCE,ORIGINAL,EXERCISE,WONDERFUL,PATIENCE,3,145,15
What word does this Braille pattern represent: '⠍⠁⠏'?,⠍⠁⠏,MAP,MAP,DIM,LID,BAT,1,146,16
What word does this Braille pattern represent: '⠍⠁⠏'?,⠍⠁⠏,MAP,USE,END,MAP,MOM,1,147,16
What word does this Braille pattern represent: '⠙⠊⠍'?,⠙⠊⠍,DIM,EAT,FLY,DIM,NAP,1,148,16
What word does this Braille pattern represent: '⠉⠁⠝'?,⠉⠁⠝,CAN,END,HIT,CAN,RIM,1,149,16
What word does this Braille pattern represent: '⠞⠕⠏'?,⠞⠕⠏,TOP,JAM,TOP,JAR,DUG,1,150,16
What word does this Braille pattern represent: '⠋⠗⠥⠊⠞'?,⠋⠗⠥⠊⠞,FRUIT,FRUIT,THANK,CHAIR,PHONE,2,151,16
What word does this Braille pattern represent: '⠁⠃⠕⠥⠞'?,⠁⠃⠕⠥⠞,ABOUT,DANCE,FRIEND,MONEY,ABOUT,2,152,16
What word does this Braille pattern represent: '⠟⠥⠊⠑⠞'?,⠟⠥⠊⠑⠞,QUIET,FRUIT,QUIET,PLAY,WRITE,2,153,16
What word does this Braille pattern represent: '⠉⠓⠕⠉⠕⠇⠁⠞⠑'?,⠉⠓⠕⠉⠕⠇⠁⠞⠑,CHOCOLATE,PEACEFUL,DECISION,TOGETHER,CHOCOLATE,3,154,16
What word does this Braille pattern represent: '⠗⠑⠙'?,⠗⠑⠙,RED,EYE,RED,YET,BED,1,155,17
What word does this Braille pattern represent: '⠝⠑⠞'?,⠝⠑⠞,NET,TIP,FLU,NET,EYE,1,156,17
What word does this Braille pattern represent: '⠵⠊⠏'?,⠵⠊⠏,ZIP,FUN,ART,ZIP,JOY,1,157,17
What word does this Braille pattern represent: '⠃⠑⠙'?,⠃⠑⠙,BED,FLU,HAT,SUN,BED,1,158,17
What word does this Braille pattern represent: '⠁⠗⠞'?,⠁⠗⠞,ART,NAP,DAD,SUN,ART,1,159,17
What word does this Braille pattern represent: '⠁⠇⠕⠝⠛'?,⠁⠇⠕⠝⠛,ALONG,LIGHT,ALONG,TRAIN,CHAIR,2,160,17
What word does this Braille pattern represent: '⠁⠃⠕⠥⠞'?,⠁⠃⠕⠥⠞,ABOUT,ABOUT,ALONG,SWEET,LEARN,2,161,17
What word does this Braille pattern represent: '⠁⠃⠕⠥⠞'?,⠁⠃⠕⠥⠞,ABOUT,STUDY,ABOUT,PARTY,SWEET,2,162,17
What word does this Braille pattern represent: '⠏⠁⠞⠊⠑⠝⠉⠑'?,⠏⠁⠞⠊⠑⠝⠉⠑,PATIENCE,IMPORTANT,PATIENCE,BLUEPRINT,TOGETHER,3,163,17
What word does this Braille pattern represent: '⠋⠇⠽'?,⠋⠇⠽,FLY,GOT,BOX,USE,FLY,1,164,18
What word does this Braille pattern represent: '⠎⠥⠝'?,⠎⠥⠝,SUN,SUN,GAS,PIE,WEB,1,165,18
What word does this Braille pattern represent: '⠉⠁⠗'?,⠉⠁⠗,CAR,DAD,BIG,USE,CAR,1,166,18
What word does this Braille pattern represent: '⠝⠑⠞'?,⠝⠑⠞,NET,DUG,NET,CAR,HUG,1,167,18
What word does this Braille pattern represent: '⠗⠥⠝'?,⠗⠥⠝,RUN,PIG,FIT,KIT,RUN,1,168,18
What word does this Braille pattern represent: '⠺⠗⠊⠞⠑'?,⠺⠗⠊⠞⠑,WRITE,APPLE,DINNER,SLEEP,WRITE,2,169,18
What word does this Braille pattern represent: '⠋⠗⠥⠊⠞'?,⠋⠗⠥⠊⠞,FRUIT,ANGRY,ALONE,MOVIE,FRUIT,2,170,18
What word does this Braille pattern represent: '⠙⠊⠝⠝⠑⠗'?,⠙⠊⠝⠝⠑⠗,DINNER,MOVIE,FAMILY,DINNER,MONEY,2,171,18
What word does this Braille pattern represent: '⠏⠑⠁⠉⠑⠋⠥⠇'?,⠏⠑⠁⠉⠑⠋⠥⠇,PEACEFUL,TECHNIQUE,COURAGE,INTERNET,PEACEFUL,3,172,18
What word does this Braille pattern represent: '⠃⠑⠑'?,⠃⠑⠑,BEE,SIT,BEE,YES,DRY,1,173,19
What word does this Braille pattern represent: '⠙⠊⠍'?,⠙⠊⠍,DIM,KEY,CAT,DIM,FUN,1,174,19
What word does this Braille pattern represent: '⠽⠑⠞'?,⠽⠑⠞,YET,BAT,VAN,YET,FAR,1,175,19
What word does this Braille pattern represent: '⠉⠁⠗'?,⠉⠁⠗,CAR,RIM,PIE,SKY,CAR,1,176,19
What word does this Braille pattern represent: '⠚⠕⠽'?,⠚⠕⠽,JOY,JOY,FAR,DAY,SKY,1,177,19
What word does this Braille pattern represent: '⠁⠇⠃⠥⠍'?,⠁⠇⠃⠥⠍,ALBUM,QUIET,ALBUM,ARISE,ABOVE,2,178,19
What word does this Braille pattern represent: '⠁⠝⠛⠑⠗'?,⠁⠝⠛⠑⠗,ANGER,ANGER,ALIVE,APPLE,ANGRY,2,179,19
What word does this Braille pattern represent: '⠁⠃⠕⠧⠑'?,⠁⠃⠕⠧⠑,ABOVE,ALONE,ASIDE,ALBUM,ABOVE,2,180,19
What word does this Braille pattern represent: '⠊⠝⠞⠑⠗⠝⠑⠞'?,⠊⠝⠞⠑⠗⠝⠑⠞,INTERNET,QUESTION,ADVENTURE,HERITAGE,INTERNET,3,181,19
What word does this Braille pattern represent: '⠝⠁⠏'?,⠝⠁⠏,NAP,HIT,NAP,MOM,USE,1,182,20
What word does this Braille pattern represent: '⠏⠊⠑'?,⠏⠊⠑,PIE,AIR,BED,ACT,PIE,1,183,20
What word does this Braille pattern represent: '⠏⠊⠑'?,⠏⠊⠑,PIE,FLU,GOT,PIE,HIT,1,184,20
What word does this Braille pattern represent: '⠉⠁⠞'?,⠉⠁⠞,CAT,BAD,CAT,VAN,MOM,1,185,20
What word does this Braille pattern represent: '⠛⠁⠎'?,⠛⠁⠎,GAS,FLY,GAS,YES,DRY,1,186,20
What word does this Braille pattern represent: '⠋⠁⠍⠊⠇⠽'?,⠋⠁⠍⠊⠇⠽,FAMILY,PAPER,FAMILY,TABLE,SCHOOL,2,187,20
What word does this Braille pattern represent: '⠞⠓⠁⠝⠅'?,⠞⠓⠁⠝⠅,THANK,LIGHT,THANK,ABOVE,HELLO,2,188,20
What word does this Braille pattern represent: '⠁⠇⠁⠗⠍'?,⠁⠇⠁⠗⠍,ALARM,ARRAY,ALARM,THANK,PARTY,2,189,20
What word does this Braille pattern represent: '⠞⠑⠉⠓⠝⠊⠟⠥⠑'?,⠞⠑⠉⠓⠝⠊⠟⠥⠑,TECHNIQUE,HAPPINESS,TECHNIQUE,DANGEROUS,INTERNET,3,190,20
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅ ⠽⠕⠥'?,⠞⠓⠁⠝⠅ ⠽⠕⠥,THANK YOU,PLEASE AND THANK YOU,THANK YOU,CAN YOU HELP,WHAT TIME IS IT,1,201,21
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗'?,⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗,SEE YOU LATER,SEE YOU LATER,WHERE ARE YOU,PLEASE AND THANK YOU,WHAT TIME IS IT,1,202,21
What phrase does this Braille pattern represent: '⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽'?,⠓⠁⠧⠑ ⠁ ⠝⠊⠉⠑ ⠙⠁⠽,HAVE A NICE DAY,LETS GO NOW,MY NAME IS,THANK YOU,HAVE A NICE DAY,1,203,21
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗'?,⠎⠑⠑ ⠽⠕⠥ ⠇⠁⠞⠑⠗,SEE YOU LATER,SEE YOU LATER,I LIKE IT,LETS GO NOW,WHAT TIME IS IT,1,204,21
What phrase does this Braille pattern represent: '⠊ ⠇⠊⠅⠑ ⠊⠞'?,⠊ ⠇⠊⠅⠑ ⠊⠞,I LIKE IT,THANK YOU,PLEASE AND THANK YOU,GOOD MORNING,I LIKE IT,1,205,21
What phrase does this Braille pattern represent: '⠝⠊⠉⠑ ⠞⠕ ⠍⠑⠑⠞ ⠽⠕⠥'?,⠝⠊⠉⠑ ⠞⠕ ⠍⠑⠑⠞ ⠽⠕⠥,NICE TO MEET YOU,I LIKE IT,NICE TO MEET YOU,LETS GO NOW,WHERE ARE YOU,1,206,21
What phrase does this Braille pattern represent: '⠞⠓⠁⠝⠅ ⠽⠕⠥'?,⠞⠓⠁⠝⠅ ⠽⠕⠥,THANK YOU,THANK YOU,HOW ARE YOU,SEE YOU TOMORROW,SEE YOU LATER,1,207,21
What phrase does this Braille pattern represent: '⠞⠑⠇⠇ ⠍⠑ ⠍⠕⠗⠑ ⠁⠃⠕⠥⠞ ⠊⠞'?,⠞⠑⠇⠇ ⠍⠑ ⠍⠕⠗⠑ ⠁⠃⠕⠥⠞ ⠊⠞,TELL ME MORE ABOUT IT,LET ME THINK ABOUT IT,TELL ME MORE ABOUT IT,DO YOU UNDERSTAND ME,I NEED MORE TIME,1,208,21
What phrase does this Braille pattern represent: '⠙⠕ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠍⠑'?,⠙⠕ ⠽⠕⠥ ⠥⠝⠙⠑⠗⠎⠞⠁⠝⠙ ⠍⠑,DO YOU UNDERSTAND ME,HOW WAS YOUR DAY,I NEED MORE TIME,WHAT ARE YOUR PLANS,DO YOU UNDERSTAND ME,1,209,21
What phrase does this Braille pattern represent: '⠏⠇⠑⠁⠎⠑ ⠞⠁⠅⠑ ⠽⠕⠥⠗ ⠞⠊⠍⠑ ⠞⠕ ⠙⠑⠉⠊⠙⠑'?,⠏⠇⠑⠁⠎⠑ ⠞⠁⠅⠑ ⠽⠕⠥⠗ ⠞⠊⠍⠑ ⠞⠕ ⠙⠑⠉⠊⠙⠑,PLEASE TAKE YOUR TIME TO DECIDE,I WOULD APPRECIATE YOUR HELP,I LOOK FORWARD TO SEEING YOU AGAIN,PLEASE TAKE YOUR TIME TO DECIDE,WHAT DO YOU THINK ABOUT THIS IDEA,1,210,21
What phrase does this Braille pattern represent: '⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞'?,⠺⠓⠁⠞ ⠞⠊⠍⠑ ⠊⠎ ⠊⠞,WHAT TIME IS IT,WHAT TIME IS IT,HOW ARE YOU,I LIKE IT,SEE YOU TOMORROW,1,211,22
What phrase does this Braille pattern represent: '⠍⠽ ⠝⠁⠍⠑ ⠊⠎'?,⠍⠽ ⠝⠁⠍⠑ ⠊⠎,MY NAME IS,LETS GO NOW,WHERE ARE YOU,WHAT TIME IS IT,MY NAME IS,1,212,22
What phrase does this Braille pattern represent: '⠏⠇⠑⠁⠎⠑ ⠁⠝⠙ ⠞⠓⠁⠝⠅ ⠽⠕⠥'?,⠏⠇⠑⠁⠎⠑ ⠁⠝⠙ ⠞⠓⠁⠝⠅ ⠽⠕⠥,PLEASE AND THANK YOU,NICE TO MEET YOU,HOW ARE YOU,PLEASE AND THANK YOU,GOOD MORNING,1,213,22
What phrase does this Braille pattern represent: '⠍⠽ ⠝⠁⠍⠑ ⠊⠎'?,⠍⠽ ⠝⠁⠍⠑ ⠊⠎,MY NAME IS,HOW ARE YOU,MY NAME IS,NICE TO MEET YOU,GOOD MORNING,1,214,22
What phrase does this Braille pattern represent: '⠊ ⠇⠊⠅⠑ ⠊⠞'?,⠊ ⠇⠊⠅⠑ ⠊⠞,I LIKE IT,SEE YOU TOMORROW,CAN YOU HELP,I LIKE IT,THANK YOU,1,215,22
What phrase does this Braille pattern represent: '⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺'?,⠎⠑⠑ ⠽⠕⠥ ⠞⠕⠍⠕⠗⠗⠕⠺,SEE YOU TOMORROW,NICE TO MEET YOU,PLEASE AND THANK YOU,SEE YOU TOMORROW,MY NAME IS,1,216,22
What phrase does this Braille pattern represent: '⠊ ⠇⠊⠅⠑ ⠊⠞'?,⠊ ⠇⠊⠅⠑ ⠊⠞,I LIKE IT,CAN YOU HELP,SEE YOU LATER,I LIKE IT,GOOD MORNING,1,217,22
What phrase does this Braille pattern represent: '⠞⠑⠇⠇ ⠍⠑ ⠍⠕⠗⠑ ⠁⠃⠕⠥⠞ ⠊⠞'?,⠞⠑⠇⠇ ⠍⠑ ⠍⠕⠗⠑ ⠁⠃⠕⠥⠞ ⠊⠞,TELL ME MORE ABOUT IT,TELL ME MORE ABOUT IT,WOULD YOU LIKE COFFEE,THANKS FOR YOUR HELP,LET ME THINK ABOUT IT,1,218,22
What phrase does this Braille pattern represent: '⠓⠕⠺ ⠉⠁⠝ ⠊ ⠓⠑⠇⠏ ⠽⠕⠥'?,⠓⠕⠺ ⠉⠁⠝ ⠊ ⠓⠑⠇⠏ ⠽⠕⠥,HOW CAN I HELP YOU,HOW WAS YOUR DAY,HOW CAN I HELP YOU,WHAT ARE YOUR PLANS,WHERE SHOULD WE MEET,1,219,22
