Q_text,Q_Braille_Symbol,Q_answer,Q_A1,Q_A2,Q_A3,Q_A4,Q_difficulty,Q_ID,Q_stage
Which set of letters corresponds to these signs: ⠼⠁⠁?,⠼⠁⠁,Q_A4,1c,ac,ca,1a,2,33,1
Which set of letters corresponds to these signs: ⠼⠁⠉?,⠼⠁⠉,Q_A4,1b,cb,1a,1c,2,34,1
Which set of letters corresponds to these signs: ⠃⠼⠁?,⠃⠼⠁,Q_A3,cb,ca,b1,1a,2,35,1
Which set of letters corresponds to these signs: ⠼⠁⠃?,⠼⠁⠃,Q_A1,1b,cb,bc,1c,2,36,1
Which set of letters corresponds to these signs: ⠃⠼⠁?,⠃⠼⠁,Q_A3,a1,1c,b1,ab,2,37,1
Which set of letters corresponds to these signs: ⠉⠃?,⠉⠃,Q_A3,bc,ac,cb,ba,2,38,1
Which set of letters corresponds to these signs: ⠼⠁⠃?,⠼⠁⠃,Q_A1,1b,b1,ca,a1,2,39,1
Which set of letters corresponds to these signs: ⠁⠼⠁?,⠁⠼⠁,Q_A2,bc,a1,ab,ba,2,40,1
Which set of letters corresponds to these signs: ⠼⠁⠁⠉?,⠼⠁⠁⠉,Q_A1,1ac,1ab,cb1,ca1,3,41,1
Which set of letters corresponds to these signs: ⠁⠉⠃?,⠁⠉⠃,Q_A1,acb,cb1,bc1,1ca,3,42,1
Which set of letters corresponds to these signs: ⠁⠉⠃?,⠁⠉⠃,Q_A3,1ab,b1a,acb,1ca,3,43,1
Which set of letters corresponds to these signs: ⠃⠼⠁⠁?,⠃⠼⠁⠁,Q_A2,1cb,b1a,a1c,1ca,3,44,1
Which set of letters corresponds to these signs: ⠁⠉⠃?,⠁⠉⠃,Q_A4,cb1,bca,c1a,acb,3,45,1
Which set of letters corresponds to these signs: ⠉⠼⠁⠁?,⠉⠼⠁⠁,Q_A2,1ca,c1a,ba1,a1b,3,46,1
Which set of letters corresponds to these signs: ⠉⠃⠁?,⠉⠃⠁,Q_A4,a1c,c1a,cab,cba,3,47,1
Which set of letters corresponds to these signs: ⠃⠼⠁⠁?,⠃⠼⠁⠁,Q_A2,cb1,b1a,c1b,1bc,3,48,1
Which set of letters corresponds to these signs: ⠼⠁⠁⠉?,⠼⠁⠁⠉,Q_A4,ba1,b1a,1bc,1ac,3,49,1
Which set of letters corresponds to these signs: ⠃⠁⠼⠁?,⠃⠁⠼⠁,Q_A1,ba1,1ba,b1a,ca1,3,50,1
Which set of letters corresponds to these signs: ⠼⠃?,⠼⠃,Q_A3,f,d,2,e,1,51,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A1,d,f,2,e,1,52,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A2,2,e,d,f,1,53,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,f,2,d,e,1,54,2
Which set of letters corresponds to these signs: ⠋?,⠋,Q_A3,e,d,f,2,1,55,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A3,d,f,e,2,1,56,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A4,e,f,2,d,1,57,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A1,d,f,e,2,1,58,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A4,2,e,f,d,1,59,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,f,2,d,e,1,60,2
Which set of letters corresponds to these signs: ⠋?,⠋,Q_A2,d,f,2,e,1,61,2
Which set of letters corresponds to these signs: ⠼⠃?,⠼⠃,Q_A2,d,2,e,f,1,62,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A2,e,d,f,2,1,63,2
Which set of letters corresponds to these signs: ⠼⠃?,⠼⠃,Q_A1,2,e,f,d,1,64,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,2,d,f,e,1,65,2
Which set of letters corresponds to these signs: ⠋?,⠋,Q_A1,f,e,d,2,1,66,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A2,2,d,e,f,1,67,2
Which set of letters corresponds to these signs: ⠋?,⠋,Q_A1,f,2,e,d,1,68,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,d,f,2,e,1,69,2
Which set of letters corresponds to these signs: ⠙?,⠙,Q_A2,2,d,f,e,1,70,2
Which set of letters corresponds to these signs: ⠋?,⠋,Q_A1,f,e,2,d,1,71,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,2,f,d,e,1,72,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A4,d,2,f,e,1,73,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A3,2,f,e,d,1,74,2
Which set of letters corresponds to these signs: ⠑?,⠑,Q_A1,e,f,d,2,1,75,2
Which set of letters corresponds to these signs: ⠙⠼⠃?,⠙⠼⠃,Q_A2,2f,d2,ef,2e,2,76,2
Which set of letters corresponds to these signs: ⠼⠃⠙?,⠼⠃⠙,Q_A1,2d,ed,df,fe,2,77,2
Which set of letters corresponds to these signs: ⠙⠋?,⠙⠋,Q_A1,df,ef,e2,2f,2,78,2
Which set of letters corresponds to these signs: ⠼⠃⠙?,⠼⠃⠙,Q_A2,2f,2d,fd,de,2,79,2
Which set of letters corresponds to these signs: ⠑⠋?,⠑⠋,Q_A3,df,fe,ef,f2,2,80,2
Which set of letters corresponds to these signs: ⠼⠃⠙?,⠼⠃⠙,Q_A4,2f,f2,e2,2d,2,81,2
Which set of letters corresponds to these signs: ⠙⠋?,⠙⠋,Q_A3,e2,fd,df,2d,2,82,2
Which set of letters corresponds to these signs: ⠙⠋?,⠙⠋,Q_A4,de,ef,2f,df,2,83,2
Which set of letters corresponds to these signs: ⠑⠙?,⠑⠙,Q_A1,ed,2e,d2,e2,2,84,2
Which set of letters corresponds to these signs: ⠋⠙?,⠋⠙,Q_A1,fd,fe,ef,2d,2,85,2
Which set of letters corresponds to these signs: ⠋⠙?,⠋⠙,Q_A1,fd,2e,ed,de,2,86,2
Which set of letters corresponds to these signs: ⠋⠼⠃?,⠋⠼⠃,Q_A3,ef,2f,f2,fe,2,87,2
Which set of letters corresponds to these signs: ⠋⠑?,⠋⠑,Q_A2,2f,fe,fd,de,2,88,2
Which set of letters corresponds to these signs: ⠋⠑?,⠋⠑,Q_A1,fe,ed,df,de,2,89,2
Which set of letters corresponds to these signs: ⠑⠼⠃?,⠑⠼⠃,Q_A1,e2,df,ed,2d,2,90,2
Which set of letters corresponds to these signs: ⠼⠃⠑⠋?,⠼⠃⠑⠋,Q_A1,2ef,fd2,2fd,def,3,91,2
Which set of letters corresponds to these signs: ⠼⠃⠋⠑?,⠼⠃⠋⠑,Q_A1,2fe,d2e,ed2,2fd,3,92,2
Which set of letters corresponds to these signs: ⠼⠃⠋⠙?,⠼⠃⠋⠙,Q_A3,2df,edf,2fd,d2f,3,93,2
Which set of letters corresponds to these signs: ⠼⠃⠙⠑?,⠼⠃⠙⠑,Q_A4,fed,d2f,e2d,2de,3,94,2
Which set of letters corresponds to these signs: ⠼⠃⠋⠑?,⠼⠃⠋⠑,Q_A3,de2,d2f,2fe,2df,3,95,2
Which set of letters corresponds to these signs: ⠑⠼⠃⠋?,⠑⠼⠃⠋,Q_A3,f2d,fe2,e2f,ed2,3,96,2
Which set of letters corresponds to these signs: ⠼⠃⠋⠙?,⠼⠃⠋⠙,Q_A4,d2f,df2,dfe,2fd,3,97,2
Which set of letters corresponds to these signs: ⠙⠋⠼⠃?,⠙⠋⠼⠃,Q_A3,f2d,2fd,df2,d2f,3,98,2
Which set of letters corresponds to these signs: ⠑⠼⠃⠙?,⠑⠼⠃⠙,Q_A4,fd2,2ef,fed,e2d,3,99,2
Which set of letters corresponds to these signs: ⠙⠋⠑?,⠙⠋⠑,Q_A1,dfe,d2e,2fd,def,3,100,2
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A1,h,g,3,i,1,101,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A2,i,h,3,g,1,102,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A4,i,3,h,g,1,103,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A3,i,3,h,g,1,104,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A4,3,i,h,g,1,105,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A1,i,3,h,g,1,106,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A4,i,h,3,g,1,107,3
Which set of letters corresponds to these signs: ⠼⠉?,⠼⠉,Q_A4,i,h,g,3,1,108,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A4,g,i,3,h,1,109,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A4,g,h,3,i,1,110,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A4,3,i,h,g,1,111,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A1,h,i,3,g,1,112,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A2,i,g,3,h,1,113,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A4,g,i,3,h,1,114,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A4,3,g,h,i,1,115,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A4,3,g,i,h,1,116,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A3,3,h,g,i,1,117,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A3,h,i,g,3,1,118,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A1,g,h,3,i,1,119,3
Which set of letters corresponds to these signs: ⠓?,⠓,Q_A1,h,i,3,g,1,120,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A4,3,h,g,i,1,121,3
Which set of letters corresponds to these signs: ⠛?,⠛,Q_A4,i,h,3,g,1,122,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A2,h,i,g,3,1,123,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A3,g,3,i,h,1,124,3
Which set of letters corresponds to these signs: ⠊?,⠊,Q_A1,i,3,g,h,1,125,3
Which set of letters corresponds to these signs: ⠓⠼⠉?,⠓⠼⠉,Q_A1,h3,hg,3h,3i,2,126,3
Which set of letters corresponds to these signs: ⠓⠛?,⠓⠛,Q_A2,i3,hg,ig,h3,2,127,3
Which set of letters corresponds to these signs: ⠛⠓?,⠛⠓,Q_A1,gh,ih,h3,g3,2,128,3
Which set of letters corresponds to these signs: ⠓⠼⠉?,⠓⠼⠉,Q_A2,hg,h3,3i,3g,2,129,3
Which set of letters corresponds to these signs: ⠓⠛?,⠓⠛,Q_A3,h3,hi,hg,gi,2,130,3
Which set of letters corresponds to these signs: ⠊⠼⠉?,⠊⠼⠉,Q_A3,h3,g3,i3,3h,2,131,3
Which set of letters corresponds to these signs: ⠊⠛?,⠊⠛,Q_A4,g3,gi,hg,ig,2,132,3
Which set of letters corresponds to these signs: ⠛⠊?,⠛⠊,Q_A1,gi,3i,i3,g3,2,133,3
Which set of letters corresponds to these signs: ⠛⠼⠉?,⠛⠼⠉,Q_A3,h3,3i,g3,3g,2,134,3
Which set of letters corresponds to these signs: ⠊⠓?,⠊⠓,Q_A4,g3,3i,3g,ih,2,135,3
Which set of letters corresponds to these signs: ⠊⠓?,⠊⠓,Q_A1,ih,h3,3h,gh,2,136,3
Which set of letters corresponds to these signs: ⠼⠉⠓?,⠼⠉⠓,Q_A3,gh,hg,3h,3g,2,137,3
Which set of letters corresponds to these signs: ⠛⠼⠉?,⠛⠼⠉,Q_A4,hi,gi,h3,g3,2,138,3
Which set of letters corresponds to these signs: ⠛⠊?,⠛⠊,Q_A2,hg,gi,3i,ih,2,139,3
Which set of letters corresponds to these signs: ⠼⠉⠊?,⠼⠉⠊,Q_A2,hg,3i,gi,3g,2,140,3
Which set of letters corresponds to these signs: ⠼⠉⠛⠓?,⠼⠉⠛⠓,Q_A1,3gh,gh3,hg3,3hg,3,141,3
Which set of letters corresponds to these signs: ⠓⠊⠛?,⠓⠊⠛,Q_A3,gi3,g3i,hig,i3g,3,142,3
Which set of letters corresponds to these signs: ⠼⠉⠓⠛?,⠼⠉⠓⠛,Q_A3,gih,gi3,3hg,i3h,3,143,3
Which set of letters corresponds to these signs: ⠛⠼⠉⠓?,⠛⠼⠉⠓,Q_A1,g3h,gi3,3hg,h3i,3,144,3
Which set of letters corresponds to these signs: ⠊⠛⠼⠉?,⠊⠛⠼⠉,Q_A2,ih3,ig3,3hi,gh3,3,145,3
Which set of letters corresponds to these signs: ⠓⠛⠊?,⠓⠛⠊,Q_A3,ghi,ihg,hgi,gih,3,146,3
Which set of letters corresponds to these signs: ⠼⠉⠛⠊?,⠼⠉⠛⠊,Q_A4,gih,3ig,ghi,3gi,3,147,3
Which set of letters corresponds to these signs: ⠓⠊⠛?,⠓⠊⠛,Q_A2,3gi,hig,3ih,h3g,3,148,3
Which set of letters corresponds to these signs: ⠓⠊⠼⠉?,⠓⠊⠼⠉,Q_A2,gh3,hi3,i3g,3hi,3,149,3
Which set of letters corresponds to these signs: ⠓⠛⠊?,⠓⠛⠊,Q_A4,ghi,gh3,i3h,hgi,3,150,3
Which set of letters corresponds to these signs: ⠚?,⠚,Q_A1,j,k,4,l,1,151,4
Which set of letters corresponds to these signs: ⠅?,⠅,Q_A4,4,l,j,k,1,152,4
Which set of letters corresponds to these signs: ⠅?,⠅,Q_A2,j,k,4,l,1,153,4
Which set of letters corresponds to these signs: ⠅?,⠅,Q_A3,4,l,k,j,1,154,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A1,l,j,4,k,1,155,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A4,j,k,4,l,1,156,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A4,j,k,l,4,1,157,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A4,j,4,k,l,1,158,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A4,j,k,4,l,1,159,4
Which set of letters corresponds to these signs: ⠅?,⠅,Q_A2,l,k,4,j,1,160,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A1,l,k,j,4,1,161,4
Which set of letters corresponds to these signs: ⠚?,⠚,Q_A4,l,k,4,j,1,162,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A1,4,j,l,k,1,163,4
Which set of letters corresponds to these signs: ⠚?,⠚,Q_A1,j,4,l,k,1,164,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A2,j,l,4,k,1,165,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A3,j,k,4,l,1,166,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A1,4,k,j,l,1,167,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A1,4,l,k,j,1,168,4
Which set of letters corresponds to these signs: ⠼⠙?,⠼⠙,Q_A4,l,j,k,4,1,169,4
Which set of letters corresponds to these signs: ⠅?,⠅,Q_A1,k,l,j,4,1,170,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A1,l,k,4,j,1,171,4
Which set of letters corresponds to these signs: ⠚?,⠚,Q_A3,4,l,j,k,1,172,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A2,k,l,4,j,1,173,4
Which set of letters corresponds to these signs: ⠇?,⠇,Q_A4,k,4,j,l,1,174,4
Which set of letters corresponds to these signs: ⠚?,⠚,Q_A3,k,4,j,l,1,175,4
Which set of letters corresponds to these signs: ⠚⠇?,⠚⠇,Q_A2,4j,jl,kl,4l,2,176,4
Which set of letters corresponds to these signs: ⠼⠙⠇?,⠼⠙⠇,Q_A4,4k,kl,4j,4l,2,177,4
Which set of letters corresponds to these signs: ⠅⠇?,⠅⠇,Q_A4,lj,lk,4l,kl,2,178,4
Which set of letters corresponds to these signs: ⠇⠅?,⠇⠅,Q_A3,k4,4l,lk,jk,2,179,4
Which set of letters corresponds to these signs: ⠅⠇?,⠅⠇,Q_A1,kl,4j,lj,4l,2,180,4
Which set of letters corresponds to these signs: ⠼⠙⠅?,⠼⠙⠅,Q_A1,4k,l4,k4,lk,2,181,4
Which set of letters corresponds to these signs: ⠅⠚?,⠅⠚,Q_A1,kj,lk,4k,lj,2,182,4
Which set of letters corresponds to these signs: ⠅⠚?,⠅⠚,Q_A4,jl,lj,k4,kj,2,183,4
Which set of letters corresponds to these signs: ⠼⠙⠅?,⠼⠙⠅,Q_A4,jl,kl,k4,4k,2,184,4
Which set of letters corresponds to these signs: ⠅⠚?,⠅⠚,Q_A4,4j,j4,kl,kj,2,185,4
Which set of letters corresponds to these signs: ⠚⠅?,⠚⠅,Q_A3,4j,jl,jk,k4,2,186,4
Which set of letters corresponds to these signs: ⠅⠇?,⠅⠇,Q_A3,l4,4j,kl,4l,2,187,4
Which set of letters corresponds to these signs: ⠚⠼⠙?,⠚⠼⠙,Q_A1,j4,4j,jl,4l,2,188,4
Which set of letters corresponds to these signs: ⠅⠼⠙?,⠅⠼⠙,Q_A2,jl,k4,jk,lj,2,189,4
Which set of letters corresponds to these signs: ⠇⠼⠙?,⠇⠼⠙,Q_A3,kl,jl,l4,k4,2,190,4
Which set of letters corresponds to these signs: ⠅⠚⠇?,⠅⠚⠇,Q_A1,kjl,jl4,4kj,4lj,3,191,4
Which set of letters corresponds to these signs: ⠅⠇⠚?,⠅⠇⠚,Q_A2,4kj,klj,l4k,j4k,3,192,4
Which set of letters corresponds to these signs: ⠇⠼⠙⠅?,⠇⠼⠙⠅,Q_A2,kjl,l4k,jkl,j4l,3,193,4
Which set of letters corresponds to these signs: ⠅⠚⠇?,⠅⠚⠇,Q_A1,kjl,j4k,lkj,lk4,3,194,4
Which set of letters corresponds to these signs: ⠅⠇⠼⠙?,⠅⠇⠼⠙,Q_A4,4jk,ljk,lk4,kl4,3,195,4
Which set of letters corresponds to these signs: ⠇⠅⠼⠙?,⠇⠅⠼⠙,Q_A1,lk4,kj4,j4l,klj,3,196,4
Which set of letters corresponds to these signs: ⠇⠼⠙⠅?,⠇⠼⠙⠅,Q_A3,jkl,4jl,l4k,lk4,3,197,4
Which set of letters corresponds to these signs: ⠅⠇⠚?,⠅⠇⠚,Q_A3,lj4,jl4,klj,j4k,3,198,4
Which set of letters corresponds to these signs: ⠼⠙⠇⠅?,⠼⠙⠇⠅,Q_A1,4lk,jk4,lk4,4lj,3,199,4
Which set of letters corresponds to these signs: ⠚⠼⠙⠇?,⠚⠼⠙⠇,Q_A1,j4l,lkj,kj4,ljk,3,200,4
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A2,5,m,n,o,1,201,5
Which set of letters corresponds to these signs: ⠕?,⠕,Q_A2,5,o,n,m,1,202,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A2,5,m,n,o,1,203,5
Which set of letters corresponds to these signs: ⠼⠑?,⠼⠑,Q_A1,5,m,o,n,1,204,5
Which set of letters corresponds to these signs: ⠼⠑?,⠼⠑,Q_A2,m,5,o,n,1,205,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A1,m,n,5,o,1,206,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A3,5,m,n,o,1,207,5
Which set of letters corresponds to these signs: ⠼⠑?,⠼⠑,Q_A2,m,5,n,o,1,208,5
Which set of letters corresponds to these signs: ⠕?,⠕,Q_A1,o,5,n,m,1,209,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A3,5,o,m,n,1,210,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A3,o,m,n,5,1,211,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A2,n,m,5,o,1,212,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A3,m,o,n,5,1,213,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A3,n,5,m,o,1,214,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A4,5,o,n,m,1,215,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A2,5,m,o,n,1,216,5
Which set of letters corresponds to these signs: ⠼⠑?,⠼⠑,Q_A4,m,o,n,5,1,217,5
Which set of letters corresponds to these signs: ⠕?,⠕,Q_A2,5,o,n,m,1,218,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A1,n,m,5,o,1,219,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A1,m,5,n,o,1,220,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A2,5,n,o,m,1,221,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A3,o,5,m,n,1,222,5
Which set of letters corresponds to these signs: ⠝?,⠝,Q_A4,m,o,5,n,1,223,5
Which set of letters corresponds to these signs: ⠼⠑?,⠼⠑,Q_A2,m,5,n,o,1,224,5
Which set of letters corresponds to these signs: ⠍?,⠍,Q_A1,m,o,n,5,1,225,5
Which set of letters corresponds to these signs: ⠼⠑⠝?,⠼⠑⠝,Q_A4,mo,n5,nm,5n,2,226,5
Which set of letters corresponds to these signs: ⠼⠑⠝?,⠼⠑⠝,Q_A1,5n,mo,no,nm,2,227,5
Which set of letters corresponds to these signs: ⠍⠝?,⠍⠝,Q_A1,mn,5m,o5,m5,2,228,5
Which set of letters corresponds to these signs: ⠼⠑⠕?,⠼⠑⠕,Q_A4,m5,n5,om,5o,2,229,5
Which set of letters corresponds to these signs: ⠼⠑⠍?,⠼⠑⠍,Q_A3,mo,mn,5m,nm,2,230,5
Which set of letters corresponds to these signs: ⠝⠕?,⠝⠕,Q_A1,no,nm,5n,mo,2,231,5
Which set of letters corresponds to these signs: ⠼⠑⠕?,⠼⠑⠕,Q_A2,mn,5o,mo,on,2,232,5
Which set of letters corresponds to these signs: ⠍⠝?,⠍⠝,Q_A2,m5,mn,5n,om,2,233,5
Which set of letters corresponds to these signs: ⠝⠕?,⠝⠕,Q_A1,no,m5,mn,5n,2,234,5
Which set of letters corresponds to these signs: ⠝⠕?,⠝⠕,Q_A3,on,5n,no,mn,2,235,5
Which set of letters corresponds to these signs: ⠍⠼⠑?,⠍⠼⠑,Q_A3,no,o5,m5,5m,2,236,5
Which set of letters corresponds to these signs: ⠝⠕?,⠝⠕,Q_A1,no,n5,mo,nm,2,237,5
Which set of letters corresponds to these signs: ⠝⠕?,⠝⠕,Q_A2,mn,no,nm,on,2,238,5
Which set of letters corresponds to these signs: ⠍⠼⠑?,⠍⠼⠑,Q_A3,mo,o5,m5,5n,2,239,5
Which set of letters corresponds to these signs: ⠝⠍?,⠝⠍,Q_A1,nm,5o,no,om,2,240,5
Which set of letters corresponds to these signs: ⠕⠍⠼⠑?,⠕⠍⠼⠑,Q_A2,5om,om5,5mo,nmo,3,241,5
Which set of letters corresponds to these signs: ⠕⠼⠑⠍?,⠕⠼⠑⠍,Q_A4,5mn,mno,n5m,o5m,3,242,5
Which set of letters corresponds to these signs: ⠼⠑⠍⠕?,⠼⠑⠍⠕,Q_A2,o5n,5mo,n5m,nm5,3,243,5
Which set of letters corresponds to these signs: ⠼⠑⠍⠝?,⠼⠑⠍⠝,Q_A1,5mn,mno,nmo,omn,3,244,5
Which set of letters corresponds to these signs: ⠼⠑⠝⠕?,⠼⠑⠝⠕,Q_A4,mon,mno,5nm,5no,3,245,5
Which set of letters corresponds to these signs: ⠕⠝⠼⠑?,⠕⠝⠼⠑,Q_A4,onm,m5o,mn5,on5,3,246,5
Which set of letters corresponds to these signs: ⠕⠼⠑⠍?,⠕⠼⠑⠍,Q_A3,no5,n5o,o5m,on5,3,247,5
Which set of letters corresponds to these signs: ⠼⠑⠍⠕?,⠼⠑⠍⠕,Q_A1,5mo,5nm,n5o,5mn,3,248,5
Which set of letters corresponds to these signs: ⠼⠑⠍⠝?,⠼⠑⠍⠝,Q_A1,5mn,m5o,onm,on5,3,249,5
Which set of letters corresponds to these signs: ⠕⠼⠑⠝?,⠕⠼⠑⠝,Q_A3,onm,nm5,o5n,o5m,3,250,5
Which set of letters corresponds to these signs: ⠏?,⠏,Q_A3,q,r,p,6,1,251,6
Which set of letters corresponds to these signs: ⠗?,⠗,Q_A2,6,r,p,q,1,252,6
Which set of letters corresponds to these signs: ⠗?,⠗,Q_A1,r,p,q,6,1,253,6
Which set of letters corresponds to these signs: ⠗?,⠗,Q_A1,r,p,6,q,1,254,6
Which set of letters corresponds to these signs: ⠼⠋?,⠼⠋,Q_A2,q,6,r,p,1,255,6
Which set of letters corresponds to these signs: ⠼⠋?,⠼⠋,Q_A4,r,q,p,6,1,256,6
Which set of letters corresponds to these signs: ⠼⠋?,⠼⠋,Q_A4,q,r,p,6,1,257,6
